Position,Track Name,Artist,Streams,URL,trackID
1,Blinding Lights,The Weeknd,6390292,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0sf12qNH5qcw8qpgymFOqD
2,Dance Monkey,Tones And I,5930139,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1rgnBhdG2JDFTbYkYRZAku
3,The Box,Roddy Ricch,5904147,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0nbXyq5TXYPCO7pr3N8S4I
4,Ignorantes,Bad Bunny,5040301,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,38RIEav39FGi86jppxO0du
5,Don't Start Now,Dua Lipa,5036041,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,6WrI0LAC5M1Rw2MnX2ZvEg
6,La Difícil,Bad Bunny,4944733,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,6NfrH0ANGmgBXyxgV2PeXt
7,Si Veo a Tu Mamá,Bad Bunny,4742097,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,41wtwzCZkXwpnakmwJ239F
8,Tusa,KAROL G,4297439,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,7k4t7uLgtOxPwTpFmtJNTY
9,Intentions (feat. Quavo),Justin Bieber,4296649,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,4umIPjkehX1r7uhmGvXiSV
10,La Santa,Bad Bunny,4238798,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK,69vlMrzHwATKzupwNcUPyK
11,Vete,Bad Bunny,3863395,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW,2n7ohqg1s68ToAHh4u9mcW
12,Falling,Trevor Daniel,3807638,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,4TnjEaWOeW0eKTKIEvJyCa
13,ROXANNE,Arizona Zervas,3771003,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,696DnlkuDOXcMAnKlTgXXK
14,Pero Ya No,Bad Bunny,3702864,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy,75pQqzwgCjUOSSy5CpmAjy
15,Say So,Doja Cat,3661833,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,3Dv1eDb0MEgF93GpLXlucZ
16,Stupid Love,Lady Gaga,3604833,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb,2kJu14V7hbZw3I4K8L8SXb
17,Yo Perreo Sola,Bad Bunny,3188473,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,0SqqAgdovOE24BzxIClpjw
18,Yummy,Justin Bieber,2997576,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR,16wAOAZ2OkqoIDN7TpChjR
19,No Time To Die,Billie Eilish,2962895,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,73SpzrcaHk0RQPFP73vqVR
20,Life Is Good (feat. Drake),Future,2934607,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,5yY9lUy8nbvjM1Uyo1Uqoc
21,Circles,Post Malone,2872343,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb
22,Bichiyal,Bad Bunny,2842792,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX,4j4w4CXm6BSr0s25wAWrrX
23,Soliá,Bad Bunny,2820916,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw,7sOfmPd18RWp3FoCzpa7Kw
24,Someone You Loved,Lewis Capaldi,2715120,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,7qEHsqek33rTcFNT9PFqLf
25,everything i wanted,Billie Eilish,2659632,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ
26,Memories,Maroon 5,2656249,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2b8fOow8UzyDFAE27YhOZM
27,Godzilla (feat. Juice WRLD),Eminem,2586470,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,7FIWs0pqAYbP91WWM0vlTQ
28,Que Malo,Bad Bunny,2555436,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1,53v2u51nq3CxiKUNphRzP1
29,After Hours,The Weeknd,2541014,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v,4ejyZ4uJEXUURcgKp1kP8v
30,La Zona,Bad Bunny,2505493,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j,5kqNIqFjijuzvVLhuY9B8j
31,Safaera,Bad Bunny,2453233,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,2DEZmgHKAvm41k4J3R2E9Y
32,Roses - Imanbek Remix,SAINt JHN,2447660,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,24Yi9hE78yPEbZ4kxyoXAI
33,Está Cabrón Ser Yo,Bad Bunny,2422269,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG,4saHEjXw7O1NXJOzBkUKKG
