Position,Track Name,Artist,Streams,URL,trackID
1,WAP (feat. Megan Thee Stallion),Cardi B,6231089,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,4Oun2ylbjFKMPTiaSbbCih
2,Hawái,Maluma,5748737,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,1yoMvmasuxZfqHEipJhRbp
3,Mood (feat. iann dior),24kGoldn,4683176,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,3tjFYV6RSFtuktYl3ZtYcq
4,Dynamite,BTS,4454108,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,0t1kP63rueHleOhQkYSXFY
5,Blinding Lights,The Weeknd,3740059,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b
6,Savage Love (Laxed - Siren Beat),Jawsh 685,3693480,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,1xQ6trAsedVPCdbtDAmk0c
7,Watermelon Sugar,Harry Styles,3668534,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,6UelLqGlWMcVH1E5c4H7lY
8,Ice Cream (with Selena Gomez),BLACKPINK,3657521,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,2J4P46vCFm1rPkNkp9pZWX
9,ROCKSTAR (feat. Roddy Ricch),DaBaby,3526327,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,7ytR5pFWmSjzHJIeQkgog4
10,Laugh Now Cry Later (feat. Lil Durk),Drake,3517399,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,2SAqBLGA283SUiwJ3xOUVI
11,Mood Swings (feat. Lil Tjay),Pop Smoke,2553472,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,5rZlwNFl01HqLWBQGryKSm
12,Roses - Imanbek Remix,SAINt JHN,2463512,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,2Wo6QQD1KMDWeFkkjLqwx5
13,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2403885,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,0PvFJmanyNQMseIFrU708S
14,"Ay, DiOs Mío!",KAROL G,2387341,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776,7x4ASXYEKfQBCewcZhK776
15,Breaking Me,Topic,2378157,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,3H7ihDc1dqLriiWXwsc2po
16,Heather,Conan Gray,2357919,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,4xqrdfXkTW4T0RauPLv3WA
17,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2334135,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,0EhpEsp4L0oRGM0vmeaN5e
18,Head & Heart (feat. MNEK),Joel Corry,2273075,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,6cx06DFPPHchuUAcTxznu9
19,Come & Go (with Marshmello),Juice WRLD,2113519,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,2Y0wPrPQBrGhoLn14xRYCG
