Position,Track Name,Artist,Streams,URL,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,WAP (feat. Megan Thee Stallion),Cardi B,6559730,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4
2,Mood (feat. iann dior),24kGoldn,6008722,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,audio_features,3tjFYV6RSFtuktYl3ZtYcq,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4
3,Hawái,Maluma,5282310,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,1yoMvmasuxZfqHEipJhRbp,0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,audio_features,1yoMvmasuxZfqHEipJhRbp,spotify:track:1yoMvmasuxZfqHEipJhRbp,https://api.spotify.com/v1/tracks/1yoMvmasuxZfqHEipJhRbp,https://api.spotify.com/v1/audio-analysis/1yoMvmasuxZfqHEipJhRbp,199112,4
4,Dynamite,BTS,4123319,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,0t1kP63rueHleOhQkYSXFY,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,audio_features,0t1kP63rueHleOhQkYSXFY,spotify:track:0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/tracks/0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/audio-analysis/0t1kP63rueHleOhQkYSXFY,199054,4
5,Blinding Lights,The Weeknd,3870836,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
6,Watermelon Sugar,Harry Styles,3856672,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,audio_features,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,174000,4
7,Savage Love (Laxed - Siren Beat),Jawsh 685,3840874,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,audio_features,1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375,4
8,ROCKSTAR (feat. Roddy Ricch),DaBaby,3589735,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4
9,Laugh Now Cry Later (feat. Lil Durk),Drake,3541325,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,audio_features,2SAqBLGA283SUiwJ3xOUVI,spotify:track:2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/tracks/2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/audio-analysis/2SAqBLGA283SUiwJ3xOUVI,261493,4
10,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,3007305,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,0PvFJmanyNQMseIFrU708S,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,audio_features,0PvFJmanyNQMseIFrU708S,spotify:track:0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/tracks/0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/audio-analysis/0PvFJmanyNQMseIFrU708S,190476,4
11,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2954514,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,2DQNYMRjisN3KAPj1bEwOI,0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042,audio_features,2DQNYMRjisN3KAPj1bEwOI,spotify:track:2DQNYMRjisN3KAPj1bEwOI,https://api.spotify.com/v1/tracks/2DQNYMRjisN3KAPj1bEwOI,https://api.spotify.com/v1/audio-analysis/2DQNYMRjisN3KAPj1bEwOI,195429,4
12,Head & Heart (feat. MNEK),Joel Corry,2920383,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028,4
13,Breaking Me,Topic,2741702,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,audio_features,3H7ihDc1dqLriiWXwsc2po,spotify:track:3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/tracks/3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/audio-analysis/3H7ihDc1dqLriiWXwsc2po,166794,4
14,Ice Cream (with Selena Gomez),BLACKPINK,2714231,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,2J4P46vCFm1rPkNkp9pZWX,0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,0.0411,0.904,159.989,audio_features,2J4P46vCFm1rPkNkp9pZWX,spotify:track:2J4P46vCFm1rPkNkp9pZWX,https://api.spotify.com/v1/tracks/2J4P46vCFm1rPkNkp9pZWX,https://api.spotify.com/v1/audio-analysis/2J4P46vCFm1rPkNkp9pZWX,175813,4
15,Roses - Imanbek Remix,SAINt JHN,2703859,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,2Wo6QQD1KMDWeFkkjLqwx5,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,audio_features,2Wo6QQD1KMDWeFkkjLqwx5,spotify:track:2Wo6QQD1KMDWeFkkjLqwx5,https://api.spotify.com/v1/tracks/2Wo6QQD1KMDWeFkkjLqwx5,https://api.spotify.com/v1/audio-analysis/2Wo6QQD1KMDWeFkkjLqwx5,176219,4
16,Heather,Conan Gray,2655711,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,audio_features,4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040,3
