danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,197867,4,1
0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,151933,3,1
0.755,0.575,4,-8.392,0,0.0673,0.0443,0.00127,0.276,0.493,85.994,205147,4,1
0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,288877,4,1
0.663,0.567,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,361947,4,1
0.531,0.75,10,-5.831,0,0.111,0.00632,7.60E-05,0.117,0.198,169.954,200080,4,1
0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4,1
0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,4,1
0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,4,1
0.643,0.721,1,-5.248,1,0.0449,0.00268,6.51E-06,0.0898,0.317,102.914,190107,4,1
0.328,0.607,2,-11.076,1,0.0315,0.318,0,0.765,0.395,146.537,213880,3,1
0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,212867,4,1
0.823,0.783,0,-6.274,1,0.154,0.21,0,0.113,0.199,141.882,191437,4,1
0.647,0.309,7,-7.948,0,0.0366,0.78,7.41E-06,0.202,0.195,87.045,171573,4,1
0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,237735,4,1
0.856,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.489,122.08,324189,4,1
0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,225773,4,1
0.456,0.263,0,-10.63,1,0.0332,0.806,0,0.0749,0.111,129.86,255894,4,1
0.687,0.514,9,-6.612,0,0.0897,0.366,0,0.116,0.494,145.921,210427,4,1
0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,261154,4,1
0.529,0.9,1,-3.503,1,0.418,0.000248,1.21E-05,0.0426,0.434,180.291,104591,4,1
0.878,0.432,10,-9.852,0,0.143,0.041,0,0.0571,0.441,86.956,163973,4,1
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,1
0.737,0.461,6,-6.887,1,0.293,0.447,0,0.268,0.481,75.005,182000,4,1
0.404,0.645,4,-3.221,0,0.0479,0.331,0,0.104,0.158,130.215,156253,4,1
0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4,1
0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4,1
0.359,0.543,7,-7.582,1,0.0915,0.492,1.57E-05,0.118,0.453,68.504,221307,4,1
0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4,1
0.437,0.481,11,-9.681,0,0.237,0.377,0,0.33,0.216,83.606,239947,4,1
0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5,1
0.618,0.71,8,-6.066,1,0.331,0.407,0,0.183,0.233,112.014,249450,4,1
0.599,0.642,0,-6.936,1,0.0363,0.164,3.33E-05,0.0992,0.349,115.412,222533,4,1
0.758,0.665,2,-5.188,0,0.0774,0.0815,0.000157,0.216,0.643,151.976,216893,4,1
0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,127947,4,1
0.703,0.696,0,-5.482,1,0.0529,0.0375,5.65E-06,0.274,0.366,121.969,205947,4,1
0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4,1
0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960,4,1
0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4,1
0.542,0.674,6,-4.169,1,0.21,0.0588,0,0.0955,0.667,76.388,196760,4,1
0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,244679,4,1
0.672,0.717,1,-2.714,1,0.034,0.341,2.40E-05,0.106,0.225,160.981,194560,4,1
0.625,0.811,0,-5.183,1,0.0659,0.0173,0,0.16,0.532,144.994,205485,4,1
0.485,0.857,2,-7.059,1,0.0442,0.534,0,0.347,0.963,148.749,182360,4,1
0.666,0.543,6,-9.188,0,0.0446,0.511,0,0.0911,0.881,161.947,182947,4,1
0.636,0.448,1,-8.969,1,0.0359,0.335,0,0.17,0.186,143.124,202206,4,1
0.747,0.622,11,-5.825,1,0.0838,0.176,0,0.151,0.57,159.93,181661,4,1
0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,185947,4,1
0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4,1
