Track Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label,Genre
I Found You (with Calvin Harris),benny blanco,0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,191496,4,1,"pop,dance,alternative,eletronic,pop,hip+hop,electronic"
Ritual,Tiësto,0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,198996,4,1,"house,uplifting,dance-pop,edm,trance,electronic,dance"
DODI,Shindy,0.823,0.56,10,-7.057,0,0.0629,0.0101,2.86E-05,0.126,0.371,146.958,183046,4,1,"hip-hop,rap,deutschrap,german+hip-hop,hip-hop,rap,deutschrap"
Tints (feat. Kendrick Lamar),Anderson .Paak,0.805,0.833,1,-6.73,0,0.12,0.0859,0,0.0578,0.703,109.076,268400,4,1,"synthfunk,soul,funk,groove,soul,hip-hop,rnb"
Saint,Huncho Jack,0.855,0.642,1,-3.701,1,0.0557,0.00953,0,0.104,0.0696,150.081,140793,4,1,"rap,hip-hop,trap,travis+scott,quavo,trap,rap,hip-hop"
That's Life (feat. Mac Miller & Sia),88-Keys,0.525,0.774,9,-4.532,1,0.241,0.24,1.07E-06,0.495,0.526,154.192,202391,4,1,"sia,mac+miller,hip-hop,rap,hip-hop,rap,hip+hop"
Sixteen,Ellie Goulding,0.669,0.801,8,-5.445,1,0.136,0.268,0,0.0594,0.541,109.919,201072,4,1,"pop,electropop,dance,2010s,electronic,female+vocalists,british"
Wait,Maroon 5,0.648,0.608,8,-5.16,1,0.0587,0.0835,0,0.105,0.488,126.12,190643,4,1,"pop,american,2017+single,pop,rock,pop+rock"
Icy (feat. Gucci Mane),Logic,0.827,0.522,7,-4.866,1,0.0845,0.163,1.19E-06,0.109,0.477,151.99,265267,4,1,"hip-hop,rap,hip+hop,biracial,hip-hop,rap,hip+hop"
Be Like Me (feat. Lil Wayne),Lil Pump,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,1,"lil+wayne,2,lil+pump,mumble+rap,3-6-19,hip-hop,trap,rap"
Make Believe,Juice WRLD,0.465,0.84,0,-4.35,1,0.0722,0.125,0,0.138,0.672,83.981,142026,4,1,"juice+wrld,hip-hop,rap,cloud+rap"
She Looks Like Fun,Arctic Monkeys,0.514,0.773,0,-3.754,1,0.0388,0.00944,0.00326,0.387,0.445,103.943,182560,4,1,"indie+rock,indie+rock,indie,british"
Buck Shots,A$AP Rocky,0.433,0.85,10,-5.79,0,0.416,0.325,0,0.356,0.58,159.956,167813,4,1,"rap,hip+hop,hip-hop,experimental+hip+hop,trap,hip-hop,rap,underground+hip-hop"
Only The Young - Featured in Miss Americana,Taylor Swift,0.56,0.78,5,-4.895,0,0.0517,0.00244,0,0.0714,0.602,93.516,157507,4,1,"pop,soundtrack,taylor+swift,2020,2020s,pop,country,female+vocalists"
Science Fiction,Arctic Monkeys,0.542,0.766,7,-5.411,1,0.0282,0.0295,0.0802,0.396,0.643,88.062,185907,4,1,"indie+rock,oh+my+god,so+fucking+good,indie+rock,indie,british"
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,258343,4,1,"hip-hop,rap,underground+hip-hop,hip+hop,underground+rap,hip-hop,rap,underground+hip-hop"
GP4,Logic,0.809,0.684,6,-3.578,0,0.273,0.282,1.44E-06,0.241,0.857,85.009,274060,4,1,"hip-hop,rap,hip+hop,biracial,hip-hop,rap,hip+hop"
No Frauds,Nicki Minaj,0.867,0.558,1,-6.975,1,0.258,0.0884,4.05E-06,0.541,0.432,139.061,272453,4,1,"rap,hip-hop,hip-hop,rap,pop"
OFF THE RIP,DaBaby,0.801,0.693,0,-4.002,1,0.323,0.0104,0,0.376,0.602,164.084,115610,4,1,"hip-hop,rap,trap,hip+hop,hip-hop,rap,trap"
Perfect Strangers,Jonas Blue,0.739,0.833,1,-5.012,1,0.0463,0.35,0,0.266,0.699,117.99,195313,4,1,"tropical+house,house,electronic,chill,electronic,house,british"
Into the Unknown,Idina Menzel,0.323,0.405,10,-8.533,0,0.0413,0.849,0.000544,0.138,0.274,145.104,194848,5,1,"musical,disney,christmas,frozen,broadway,female+vocalists,musicals"
Get Up 10,Cardi B,0.806,0.57,1,-6.927,1,0.246,0.0977,0,0.105,0.454,93.015,231453,4,1,"trap,rap,hip-hop,female+rap,hip-hop,rap,trap"
Under Pressure - Remastered 2011,Queen,0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,248440,4,1,"rock,80s,moonlight-gold,pop-rock,classic+rock,rock,hard+rock"
ODIO,J Balvin,0.74,0.698,6,-3.838,0,0.0388,0.215,0,0.116,0.529,139.99,270400,4,1,"reggaeton,pop,colombian,all,reggaeton,pop,colombian"
Over Your Head,Future,0.773,0.742,5,-5.453,0,0.162,0.00198,0,0.558,0.35,148.949,186843,4,1,"future,lil+uzi+vert,hip-hop,rap,trap"
Instant Destiny,Tame Impala,0.381,0.829,10,-4.564,1,0.0598,0.0226,0.000274,0.402,0.509,165.935,194707,4,1,"2020,psychedelic,psychedelic+rock,psychedelic+rock,psychedelic,indie+rock"
Outro : Ego,BTS,0.808,0.903,0,-3.106,1,0.0958,0.0121,0.000233,0.0993,0.473,116.988,196199,4,1,"k-pop,j-hope,k-pop,bts,kpop"
Dreamcatcher (feat. Swae Lee & Travis Scott),Metro Boomin,0.675,0.23,1,-10.363,0,0.204,0.191,0,0.104,0.101,173.962,211920,4,1,"trap,rap,hip-hop,trap,rap,hip-hop"
Jump - 2015 Remaster,Van Halen,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000376,0.0702,0.796,129.994,241600,4,1,"hard+rock,ella+knox,aidra+fox,giselle+palmer,sarah+banks,hard+rock,classic+rock,rock"
MORE & MORE,TWICE,0.739,0.841,5,-4.162,1,0.06,0.0312,0,0.173,0.562,106.99,199653,4,1,"korean,pop,girl+group,dubstep,k-pop,kpop,korean"
Uptown Vibes (feat. Fabolous & Anuel AA),Meek Mill,0.655,0.835,1,-3.451,1,0.059,0.0459,0,0.409,0.165,91.035,190412,4,1,"meek+mill,fabolous,anuel+aa,hip-hop,rap,hip+hop"
Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,0.736,0.622,6,-4.653,0,0.133,0.0235,0,0.151,0.506,191.971,192779,4,1,"a+boogie+wit+da+hoodie,tyga,offset,offsrt,hip-hop,rap,hip+hop"
Two Ghosts,Harry Styles,0.386,0.407,6,-7.095,0,0.0268,0.234,1.86E-06,0.0999,0.456,69.387,229813,4,1,"rock,louis+tomlinson,folk,soft+rock,rock,pop,alternative"
Grandpa's Space Ship,Logic,0.719,0.167,1,-18.942,1,0.889,0.266,0,0.152,0.161,119.082,122093,5,1,"rap,hip+hop,hip-hop,rap,hip+hop"
asmr,21 Savage,0.84,0.543,1,-7.738,1,0.476,0.0399,0,0.117,0.161,170.067,171714,4,1,"rap,21+savage,hip-hop,trap,rap"
444+222,Lil Uzi Vert,0.791,0.513,10,-6.568,0,0.269,0.0235,2.83E-05,0.101,0.481,76.997,247347,4,1,"trap,hip-hop,rap,yeah,emo+rap,trap,hip-hop,rap"
Go Flex,Post Malone,0.665,0.498,5,-8.185,1,0.0832,0.228,0,0.0757,0.127,81.967,179613,4,1,"hip-hop,rap,trap,rhytm+and+blues,folk+rap,hip-hop,rap,trap"
Fallin' All In You,Shawn Mendes,0.853,0.477,8,-6.697,1,0.0362,0.401,0,0.111,0.8,92.03,235747,4,1,"pop,love,male,beautiful,internacional,pop,canadian,folk"
Papercut,Linkin Park,0.524,0.939,9,-3.994,1,0.113,0.00022,0,0.623,0.661,150.184,184867,4,1,"nu+metal,rock,alternative+rock,alternative,linkin+park,rock,nu+metal,alternative+rock"
I,Lil Skies,0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,181891,4,1,"rap,hip+hop,lil+skies,rap,hip-hop,cloud+rap"
