Track Name,Artist,Streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms,time_signature,Label
What Makes You Beautiful,One Direction,2059930,0.726,0.787,4,-2.494,1,0.0737,0.009000000000000001,0.0,0.0596,0.888,124.99,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,199987,4,1
Forever After All,Luke Combs,2769163,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,https://api.spotify.com/v1/audio-analysis/6IBcOGPsniK3Pso1wHIhew,232533,4,1
Too Late,The Weeknd,4557339,0.638,0.863,4,-5.221,0,0.132,0.052000000000000005,5.460000000000001e-05,0.685,0.226,120.077,https://api.spotify.com/v1/audio-analysis/2K9Ovn1o2bTGqbsABGC6m3,239973,4,1
Alone Again,The Weeknd,5118147,0.218,0.652,4,-7.9529999999999985,0,0.0641,0.033,0.111,0.172,0.0599,65.375,https://api.spotify.com/v1/audio-analysis/6b5P51m8xx2XA6U7sdNZ5E,250053,4,1
Spicy (feat. Post Malone),Ty Dolla $ign,2155899,0.782,0.51,4,-5.724,0,0.0419,0.14300000000000002,0.0,0.115,0.118,99.993,https://api.spotify.com/v1/audio-analysis/5IUtvfNvOyVYZUa6AJFrnP,143375,4,1
Scared To Live,The Weeknd,4334915,0.504,0.498,0,-8.24,1,0.0499,0.131,0.0,0.0929,0.196,87.221,https://api.spotify.com/v1/audio-analysis/4BGZF4oLbTL0pWm7C18pbv,191307,4,1
Hardest To Love,The Weeknd,4348939,0.467,0.608,10,-7.847,1,0.0707,0.0909,8.83e-05,0.125,0.108,80.957,https://api.spotify.com/v1/audio-analysis/6kWxIqQDsKFYCJGbU4AjCX,211400,4,1
I'm Sorry,Lil Uzi Vert,2717668,0.858,0.547,1,-5.822,1,0.29,0.213,0.0,0.104,0.303,128.02,https://api.spotify.com/v1/audio-analysis/1xcOYJxDa5pObgxY1r0I9c,211883,4,1
Homecoming,Lil Uzi Vert,2669094,0.929,0.563,9,-7.428,1,0.49,0.000592,0.0,0.244,0.353,129.957,https://api.spotify.com/v1/audio-analysis/6vxU64pcIuQ38O015Zy4qj,213885,4,1
august,Taylor Swift,5022656,0.532,0.623,5,-9.208,1,0.0331,0.5379999999999999,7.28e-05,0.0925,0.403,89.93700000000003,https://api.spotify.com/v1/audio-analysis/3hUxzQpSfdDqwM3ZTFQY0K,261923,4,1
