danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.75,0.69,11,-7.96,1,0.16,0.25,0,0.1,0.5,89.98,181733,4,1
0.73,0.73,4,-3.43,0,0.09,0.17,0,0.35,0.47,113.01,221820,4,1
0.83,0.45,1,-9.75,0,0.2,0.32,0,0.11,0.84,81.62,247059,4,1
0.88,0.46,7,-8.19,0,0.16,0.03,0,0.23,0.3,136.97,198913,4,1
0.84,0.55,5,-6.71,1,0.07,0.21,0,0.1,0.63,115,220590,4,1
0.75,0.56,10,-7.91,0,0.25,0.11,0.03,0.36,0.55,77.34,162596,5,1
0.94,0.45,1,-7.51,1,0.38,0.02,0,0.08,0.36,133.07,187541,4,1
0.75,0.77,6,-4.41,0,0.1,0.01,0,0.09,0.74,114.04,199054,4,1
0.82,0.59,6,-6.61,0,0.2,0.11,0,0.19,0.35,125.97,190476,4,1
0.9,0.72,11,-5.22,0,0.26,0.06,0,0.19,0.84,145.01,227478,4,1
0.81,0.56,7,-3.12,0,0.11,0.13,0,0.15,0.77,172.09,184255,4,1
0.71,0.81,4,-5.47,0,0.03,0,0,0.2,0.26,110,223279,4,1
0.36,0.43,5,-7.3,1,0.03,0.58,0,0.32,0.27,102.08,198040,3,1
0.65,0.61,9,-6.13,0,0.13,0,0,0.27,0.08,149.97,194621,4,1
0.85,0.64,9,-5.13,1,0.16,0.04,0,0.05,0.7,96.99,222680,4,1
0.76,0.66,7,-5.28,1,0.28,0.16,0,0.2,0.57,100.2,157944,4,1
0.85,0.68,11,-4.8,0,0.14,0.27,0,0.11,0.68,90.01,219048,4,1
0.69,0.69,6,-6.54,0,0.13,0.22,0,0.12,0.31,158.83,196180,4,1
0.72,0.71,11,-4.37,1,0.17,0.51,0,0.1,0.53,180.03,189653,4,1
0.77,0.48,0,-8.52,0,0.08,0.23,0,0.27,0.76,150.08,171375,4,1
0.63,0.81,0,-5.18,1,0.07,0.02,0,0.16,0.54,144.99,205485,4,1
0.73,0.81,6,-3.77,1,0.06,0.05,0,0.15,0.7,168.08,217547,4,1
0.81,0.71,4,-4.65,0,0.21,0.3,0,0.09,0.79,176.01,345241,4,1
0.73,0.87,8,-3.16,1,0.07,0.17,0,0.05,0.91,122.95,166028,4,1
0.57,0.69,6,-8.23,0,0.05,0.01,0,0.17,0.39,168.17,232253,4,1
